actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
64,PT07M03.00S,2020-01-07T00:18:18.2Z,1,REGULAR,rebound,defensive,[],202330,,,1610612738,10,8,2020-01-07T00:18:18Z,640000,,,0,,G. Hayward REBOUND (Off:0 Def:3),[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,,,63.0,3.0,3.0,0.0,,,,,,,,,,,,,
65,PT06M48.00S,2020-01-07T00:18:33.2Z,1,REGULAR,2pt,jumpshot,[],1628369,91.93495400788436,17.96109068627451,1610612738,10,8,2020-01-07T00:22:55Z,650000,-160.0,23.0,1,right,MISS J. Tatum 16' jumpshot,[1628369],1610612738.0,BOS,stepback,,,Tatum,J. Tatum,,,,,16.28,Missed,,,,,,,,,,,,,,,,,,,
66,PT06M43.00S,2020-01-07T00:18:38.2Z,1,REGULAR,rebound,defensive,[],203895,,,1610612764,10,8,2020-01-07T00:18:38Z,660000,,,0,,J. McRae REBOUND (Off:0 Def:2),[203895],1610612764.0,WAS,,,,McRae,J. McRae,,,,,,,,,65.0,2.0,2.0,0.0,,,,,,,,,,,,,
67,PT06M38.00S,2020-01-07T00:18:42.6Z,1,REGULAR,2pt,jumpshot,['fastbreak'],203895,13.091327201051248,73.59834558823529,1610612764,12,8,2020-01-07T00:18:50Z,670000,-118.0,71.0,1,left,J. McRae 14' jumpshot (4 PTS),[203895],1610612764.0,WAS,stepbackbank,,,McRae,J. McRae,,,,,14.04,Made,,,,,,,4.0,,,,,,,,,,,,
68,PT06M19.00S,2020-01-07T00:19:01.1Z,1,REGULAR,3pt,jumpshot,[],1627759,68.54467805519053,20.412071078431374,1610612738,12,8,2020-01-07T00:19:06Z,680000,-148.0,243.0,1,right,MISS J. Brown 29' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,28.94,Missed,,,,,,,,,,,,,,,,,,,
69,PT06M16.00S,2020-01-07T00:19:04.1Z,1,REGULAR,rebound,defensive,[],203895,,,1610612764,12,8,2020-01-07T00:19:06Z,690000,,,0,,J. McRae REBOUND (Off:0 Def:3),[203895],1610612764.0,WAS,,,,McRae,J. McRae,,,,,,,,,68.0,3.0,3.0,0.0,,,,,,,,,,,,,
70,PT06M10.00S,2020-01-07T00:19:11.3Z,1,REGULAR,3pt,jumpshot,[],203895,32.802233902759525,23.598345588235293,1610612764,12,8,2020-01-07T00:19:16Z,700000,132.0,256.0,1,left,MISS J. McRae 29' 3PT,[203895],1610612764.0,WAS,,,,McRae,J. McRae,,,,,29.27,Missed,,,,,,,,,,,,,,,,,,,
71,PT06M07.00S,2020-01-07T00:19:14.4Z,1,REGULAR,rebound,offensive,[],1629067,,,1610612764,12,8,2020-01-07T00:19:14Z,710000,,,0,,I. Bonga REBOUND (Off:1 Def:0),[1629067],1610612764.0,WAS,,,,Bonga,I. Bonga,,,,,,,,,70.0,1.0,0.0,1.0,,,,,,,,,,,,,
72,PT06M03.00S,2020-01-07T00:19:18.2Z,1,REGULAR,2pt,layup,"['pointsinthepaint', '2ndchance']",203895,8.623521681997373,47.372855392156865,1610612764,12,8,2020-01-07T00:19:23Z,720000,13.0,29.0,1,left,MISS J. McRae layup,[203895],1610612764.0,WAS,,,,McRae,J. McRae,,,,,3.65,Missed,,,,,,,,,,,,,,,,,,,
74,PT05M59.00S,2020-01-07T00:19:22.2Z,1,REGULAR,rebound,defensive,[],202683,,,1610612738,12,8,2020-01-07T00:21:24Z,740000,,,0,,E. Kanter REBOUND (Off:0 Def:1),[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,,72.0,1.0,1.0,0.0,,,,,,,,,,,,,
