actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
113,PT04M15.00S,2020-07-31T23:06:43.2Z,1,REGULAR,freethrow,2of2,['fromturnover'],1627759,,,1610612738,25,22,2020-07-31T23:06:58Z,1090000,,,0,,MISS J. Brown freethrow 2of2,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,Missed,,,,,,,,,,,,,,,,,,,
114,PT04M15.00S,2020-07-31T23:06:43.2Z,1,REGULAR,rebound,defensive,[],101141,,,1610612749,25,22,2020-07-31T23:07:01Z,1100000,,,0,,E. Ilyasova REBOUND (Off:0 Def:2),[101141],1610612749.0,MIL,,,,Ilyasova,E. Ilyasova,,,,,,,113.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
115,PT04M01.00S,2020-07-31T23:07:12.0Z,1,REGULAR,foul,personal,[],202954,,,1610612749,25,22,2020-07-31T23:08:21Z,1110000,,,0,,B. Wanamaker FOUL personal (1 PF),"[202954, 201577]",1610612738.0,BOS,,,,Wanamaker,B. Wanamaker,,,,,,,,,,,,,,,1148.0,1.0,0.0,Lopez,201577.0,,,,,,
117,PT04M01.00S,2020-07-31T23:07:28.8Z,1,REGULAR,substitution,out,[],202330,,,1610612749,25,22,2020-07-31T23:07:31Z,1130000,,,0,,substitution out Hayward,[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,,,,,,,,,,,,,,,,,,,
118,PT04M01.00S,2020-07-31T23:07:28.8Z,1,REGULAR,substitution,in,[],1628369,,,1610612749,25,22,2020-07-31T23:07:31Z,1140000,,,0,,substitution in Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
119,PT03M57.00S,2020-07-31T23:07:42.1Z,1,REGULAR,3pt,jumpshot,[],2594,34.11629434954008,29.235600490196077,1610612749,25,22,2020-07-31T23:07:46Z,1150000,104.0,268.0,1,left,MISS K. Korver 29' 3PT,[2594],1610612749.0,MIL,,,,Korver,K. Korver,,,,,29.27,Missed,,,,,,,,,,,,,,,,,,,
120,PT03M56.00S,2020-07-31T23:07:43.1Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,25,22,2020-07-31T23:07:50Z,1160000,,,0,,J. Brown REBOUND (Off:0 Def:2),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,119.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
121,PT03M44.00S,2020-07-31T23:07:56.8Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",201577,,,1610612738,25,22,2020-07-31T23:08:10Z,1170000,,,0,,R. Lopez FOUL personal (1 PF) (Brown inpenalty),"[201577, 1627759]",1610612749.0,MIL,shooting,,,Lopez,R. Lopez,,,,,,,,,,,,,,,1148.0,1.0,0.0,Brown,1627759.0,,,,,,
123,PT03M44.00S,2020-07-31T23:08:21.6Z,1,REGULAR,freethrow,1of2,[],1627759,,,1610612738,25,22,2020-07-31T23:08:21Z,1190000,,,0,,MISS J. Brown freethrow 1of2,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,Missed,,,,,,,,,,,,,,,,,,,
124,PT03M44.00S,2020-07-31T23:08:21.6Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612738,25,22,2020-07-31T23:08:21Z,1200000,,,0,,Team offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,123.0,,,,,,,,,,,,,,,,,,
