actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,blockPlayerName,blockPersonId,shotActionNumber,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,value
68,PT05M33.00S,2020-09-24T00:58:02.4Z,1,REGULAR,foul,offensive,[],2738,,,1610612748,15,10,2020-09-24T00:58:14Z,650000,,,0,,A. Iguodala offensive FOUL (1 PF),"[2738, 203935]",1610612748.0,MIA,,,,Iguodala,A. Iguodala,,,,,,,,,,,,,,,,,202027.0,,1.0,0.0,Smart,203935.0,,,
70,PT05M33.00S,2020-09-24T00:58:02.4Z,1,REGULAR,turnover,offensive foul,[],2738,,,1610612748,15,10,2020-09-24T00:58:02Z,670000,,,0,,A. Iguodala offensive foul TURNOVER (1 TOV),[2738],1610612748.0,MIA,,,,Iguodala,A. Iguodala,,,,,,,,,,,,,,,,,202027.0,1.0,,,,,,,
71,PT05M20.00S,2020-09-24T00:58:28.9Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],202689,84.70762155059133,27.029718137254903,1610612738,15,12,2020-09-24T00:58:31Z,680000,-115.0,91.0,1,right,K. Walker 15' pullup Jump Shot (5 PTS) (M. Smart 2 AST),"[202689, 203935]",1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,15.02,Made,5.0,,,,M. Smart,203935.0,2.0,,,,,,,,,,,,
73,PT04M58.00S,2020-09-24T00:58:50.0Z,1,REGULAR,3pt,Jump Shot,[],1629639,27.54599211563732,77.27481617647058,1610612748,15,12,2020-09-24T00:58:53Z,700000,-136.0,206.0,1,left,MISS T. Herro 25' 3PT,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,25.2,Missed,,,,,,,,,,,,,,,,,,,
74,PT04M57.00S,2020-09-24T00:58:51.0Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,15,12,2020-09-24T00:58:57Z,710000,,,0,,J. Brown REBOUND (Off:0 Def:2),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,73.0,,,,2.0,2.0,0.0,,,,,,,,,
75,PT04M51.00S,2020-09-24T00:59:00.0Z,1,REGULAR,foul,personal,['3freethrow'],1629130,,,1610612738,15,12,2020-09-24T00:59:12Z,720000,,,0,,D. Robinson shooting personal FOUL (1 PF) (Walker 3 FT),"[1629130, 202689]",1610612748.0,MIA,shooting,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,1146.0,,1.0,0.0,Walker,202689.0,,,
77,PT04M51.00S,2020-09-24T00:59:31.3Z,1,REGULAR,freethrow,1 of 3,[],202689,,,1610612738,15,13,2020-09-24T01:00:08Z,740000,,,0,,K. Walker Free Throw 1 of 3 (6 PTS),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,Made,6.0,,,,,,,,,,,,,,,,,,
78,PT04M51.00S,2020-09-24T00:59:31.3Z,1,REGULAR,freethrow,2 of 3,[],202689,,,1610612738,15,14,2020-09-24T01:00:08Z,750000,,,0,,K. Walker Free Throw 2 of 3 (7 PTS),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,Made,7.0,,,,,,,,,,,,,,,,,,
79,PT04M51.00S,2020-09-24T00:59:31.3Z,1,REGULAR,freethrow,3 of 3,[],202689,,,1610612738,15,14,2020-09-24T01:00:08Z,760000,,,0,,MISS K. Walker Free Throw 3 of 3,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,Missed,,,,,,,,,,,,,,,,,,,
80,PT04M51.00S,2020-09-24T00:59:31.3Z,1,REGULAR,rebound,defensive,[],2738,,,1610612748,15,14,2020-09-24T01:00:10Z,770000,,,0,,A. Iguodala REBOUND (Off:0 Def:1),[2738],1610612748.0,MIA,,,,Iguodala,A. Iguodala,,,,,,,,,,79.0,,,,1.0,1.0,0.0,,,,,,,,,
