actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
420,PT02M49.00S,2020-09-28T01:17:56.1Z,3,REGULAR,substitution,out,[],202710,,,1610612748,84,76,2020-09-28T01:18:20Z,4130000,,,0,,SUB out: J. Butler,[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,,,,,,,,,,,,,,
421,PT02M49.00S,2020-09-28T01:17:56.1Z,3,REGULAR,substitution,out,[],1629130,,,1610612748,84,76,2020-09-28T01:18:20Z,4140000,,,0,,SUB out: D. Robinson,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,,,,,,,,
422,PT02M49.00S,2020-09-28T01:17:56.1Z,3,REGULAR,substitution,in,[],201609,,,1610612748,84,76,2020-09-28T01:18:20Z,4150000,,,0,,SUB in: G. Dragic,[201609],1610612748.0,MIA,,,,Dragic,G. Dragic,,,,,,,,,,,,,,,,,,,,,,,,
423,PT02M49.00S,2020-09-28T01:17:56.1Z,3,REGULAR,substitution,in,[],1628389,,,1610612748,84,76,2020-09-28T01:18:20Z,4160000,,,0,,SUB in: B. Adebayo,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,
424,PT02M26.00S,2020-09-28T01:18:46.5Z,3,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",201609,81.42247043363994,36.09834558823529,1610612748,84,76,2020-09-28T01:18:50Z,4170000,-70.0,122.0,1,right,MISS G. Dragic 15' Jump Shot,[201609],1610612748.0,MIA,turnaroundfadeaway,,,Dragic,G. Dragic,,,,,14.53,Missed,,,,,,,,,,,,,,,,,,
425,PT02M25.00S,2020-09-28T01:18:47.5Z,3,REGULAR,rebound,defensive,[],1629684,,,1610612738,84,76,2020-09-28T01:18:50Z,4180000,,,0,,G. Williams REBOUND (Off:0 Def:2),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,424.0,2.0,2.0,0.0,,,,,,,,,,,,,,
426,PT02M18.00S,2020-09-28T01:19:03.6Z,3,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,84,76,2020-09-28T01:19:03Z,4190000,,,0,,Stoppage out-of-bounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
427,PT02M18.00S,2020-09-28T01:19:05.4Z,3,REGULAR,substitution,out,[],1628369,,,1610612738,84,76,2020-09-28T01:19:09Z,4200000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,
428,PT02M18.00S,2020-09-28T01:19:05.4Z,3,REGULAR,substitution,out,[],202954,,,1610612738,84,76,2020-09-28T01:19:09Z,4210000,,,0,,SUB out: B. Wanamaker,[202954],1610612738.0,BOS,,,,Wanamaker,B. Wanamaker,,,,,,,,,,,,,,,,,,,,,,,,
429,PT02M18.00S,2020-09-28T01:19:05.4Z,3,REGULAR,substitution,in,[],1627759,,,1610612738,84,76,2020-09-28T01:19:09Z,4220000,,,0,,SUB in: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,
