actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
77,PT06M36.00S,2022-04-25T23:13:56.5Z,1,REGULAR,substitution,in,[],1629684,,,1610612751,12,15,2022-04-25T23:17:18Z,760000,,,0,,SUB in: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT06M36.00S,2022-04-25T23:17:43.3Z,1,REGULAR,freethrow,1 of 2,[],1629651,,,1610612751,12,15,2022-04-25T23:18:02Z,770000,,,0,,MISS N. Claxton Free Throw 1 of 2,[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,Missed,,,,,,,,,,,,,,,,,,,
79,PT06M36.00S,2022-04-25T23:17:43.3Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612751,12,15,2022-04-25T23:18:02Z,780000,,,0,,TEAM offensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,,,78.0,,,,,,,,,,,,,,,,,,
80,PT06M36.00S,2022-04-25T23:17:43.3Z,1,REGULAR,freethrow,2 of 2,[],1629651,,,1610612751,12,15,2022-04-25T23:18:02Z,790000,,,0,,MISS N. Claxton Free Throw 2 of 2,[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,Missed,,,,,,,,,,,,,,,,,,,
81,PT06M31.00S,2022-04-25T23:17:48.3Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,12,15,2022-04-25T23:18:09Z,800000,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,80.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
82,PT06M24.00S,2022-04-25T23:18:08.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,93.11760840998686,51.470588235294116,1610612738,12,15,2022-04-25T23:18:22Z,810000,7.0,12.0,1,right,MISS J. Brown driving Layup - blocked,"[1627759, 1629651]",1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,1.43,Missed,,,,,,,,,,,,,,,,,Claxton,1629651.0,
83,PT06M24.00S,2022-04-25T23:18:08.9Z,1,REGULAR,block,,[],1629651,,,1610612738,12,15,2022-04-25T23:18:11Z,820000,,,0,,N. Claxton BLOCK (1 BLK),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT06M24.00S,2022-04-25T23:18:08.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,12,15,2022-04-25T23:18:22Z,830000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,82.0,,,,,,,,,,,,,,,,,,
85,PT06M24.00S,2022-04-25T23:18:14.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,12,15,2022-04-25T23:18:14Z,840000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT06M22.00S,2022-04-25T23:18:34.1Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1627759,92.9862023653088,76.7156862745098,1610612738,12,15,2022-04-25T23:19:25Z,850000,134.0,13.0,1,right,MISS J. Brown 13' pullup Shot,[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,13.43,Missed,,,,,,,,,,,,,,,,,,,
