actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
68,PT05M18.00S,2022-05-26T00:56:52.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612748,6,11,2022-05-26T00:56:52Z,680000,,,0,,MIA Timeout,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT05M18.00S,2022-05-26T00:56:56.3Z,1,REGULAR,substitution,out,[],200768,,,1610612748,6,11,2022-05-26T01:00:15Z,690000,,,0,,SUB out: K. Lowry,[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,,,,,,,,,,,,,,,,,
70,PT05M18.00S,2022-05-26T00:56:56.3Z,1,REGULAR,substitution,out,[],1628389,,,1610612748,6,11,2022-05-26T01:00:15Z,700000,,,0,,SUB out: B. Adebayo,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,
71,PT05M18.00S,2022-05-26T00:56:56.3Z,1,REGULAR,substitution,out,[],1629057,,,1610612748,6,11,2022-05-26T01:00:15Z,710000,,,0,,SUB out: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,
72,PT05M18.00S,2022-05-26T00:56:56.3Z,1,REGULAR,substitution,in,[],1629216,,,1610612748,6,11,2022-05-26T01:00:15Z,720000,,,0,,SUB in: G. Vincent,[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,,,,,,,,,,,,,,,,,,,,
73,PT05M18.00S,2022-05-26T00:56:56.3Z,1,REGULAR,substitution,in,[],203506,,,1610612748,6,11,2022-05-26T01:00:15Z,730000,,,0,,SUB in: V. Oladipo,[203506],1610612748.0,MIA,,,,Oladipo,V. Oladipo,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M18.00S,2022-05-26T00:56:56.3Z,1,REGULAR,substitution,in,[],1629684,,,1610612748,6,11,2022-05-26T01:00:15Z,740000,,,0,,SUB in: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M05.00S,2022-05-26T01:00:30.2Z,1,REGULAR,turnover,bad pass,[],203506,,,1610612748,6,11,2022-05-26T01:00:36Z,750000,,,0,,V. Oladipo bad pass TURNOVER (1 TO),"[203506, 1627759]",1610612748.0,MIA,,,,Oladipo,V. Oladipo,,,,,,,,,,,,,,,,,,,,1.0,Brown,1627759.0,,
76,PT05M05.00S,2022-05-26T01:00:30.2Z,1,REGULAR,steal,,[],1627759,,,1610612738,6,11,2022-05-26T01:00:33Z,760000,,,0,,J. Brown STEAL (1 STL),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M01.00S,2022-05-26T01:00:33.9Z,1,REGULAR,turnover,lost ball,[],1627759,,,1610612738,6,11,2022-05-26T01:00:39Z,770000,,,0,,J. Brown lost ball TURNOVER (1 TO),"[1627759, 200782]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,1.0,Tucker,200782.0,,
78,PT05M01.00S,2022-05-26T01:00:33.9Z,1,REGULAR,steal,,[],200782,,,1610612748,6,11,2022-05-26T01:00:35Z,780000,,,0,,P. Tucker STEAL (1 STL),[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,,,,,,,,,,,,,,,,,,
