actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,value
362,PT06M55.00S,2021-05-12T01:14:29.4Z,3,REGULAR,freethrow,1 of 2,[],1629130,,,1610612748,67,70,2021-05-12T01:14:29Z,3540000,,,0,,D. Robinson Free Throw 1 of 2 (10 PTS),[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,Made,,,,,10.0,,,,,,,,,,,,,,
363,PT06M55.00S,2021-05-12T01:14:45.4Z,3,REGULAR,freethrow,2 of 2,[],1629130,,,1610612748,67,71,2021-05-12T01:14:45Z,3550000,,,0,,D. Robinson Free Throw 2 of 2 (11 PTS),[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,Made,,,,,11.0,,,,,,,,,,,,,,
364,PT06M34.00S,2021-05-12T01:15:11.1Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628369,10.988830486202366,52.51991421568627,1610612738,67,71,2021-05-12T01:15:44Z,3560000,-13.0,51.0,1,left,MISS J. Tatum driving floating Shot,[1628369],1610612738.0,BOS,driving floating,,,Tatum,J. Tatum,,,,,5.23,Missed,,,,,,,,,,,,,,,,,,,
365,PT06M31.00S,2021-05-12T01:15:14.1Z,3,REGULAR,rebound,defensive,[],2772,,,1610612748,67,71,2021-05-12T01:15:44Z,3570000,,,0,,T. Ariza REBOUND (Off:1 Def:4),[2772],1610612748.0,MIA,,,,Ariza,T. Ariza,,,,,,,364.0,5.0,4.0,1.0,,,,,,,,,,,,,,,
366,PT06M30.00S,2021-05-12T01:15:15.8Z,3,REGULAR,foul,personal,"['inpenalty', '2freethrow']",203935,,,1610612748,67,71,2021-05-12T01:15:57Z,3580000,,,0,,M. Smart personal FOUL (2 PF) (Robinson 2 FT),"[203935, 1629130]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,2714.0,,2.0,0.0,Robinson,1629130.0,,,
368,PT06M30.00S,2021-05-12T01:16:18.8Z,3,REGULAR,freethrow,1 of 2,[],1629130,,,1610612748,67,72,2021-05-12T01:16:42Z,3600000,,,0,,D. Robinson Free Throw 1 of 2 (12 PTS),[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,Made,,,,,12.0,,,,,,,,,,,,,,
369,PT06M30.00S,2021-05-12T01:16:18.8Z,3,REGULAR,freethrow,2 of 2,[],1629130,,,1610612748,67,72,2021-05-12T01:16:42Z,3610000,,,0,,MISS D. Robinson Free Throw 2 of 2,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,Missed,,,,,,,,,,,,,,,,,,,
370,PT06M27.00S,2021-05-12T01:16:21.8Z,3,REGULAR,rebound,defensive,[],202689,,,1610612738,67,72,2021-05-12T01:16:42Z,3620000,,,0,,K. Walker REBOUND (Off:0 Def:5),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,369.0,5.0,5.0,0.0,,,,,,,,,,,,,,,
371,PT06M18.00S,2021-05-12T01:16:48.6Z,3,REGULAR,3pt,Jump Shot,[],203095,32.276609724047304,53.74540441176471,1610612738,67,72,2021-05-12T01:16:53Z,3630000,-19.0,251.0,1,left,MISS E. Fournier 25' 3PT,[203095],1610612738.0,BOS,,,,Fournier,E. Fournier,,,,,25.16,Missed,,,,,,,,,,,,,,,,,,,
372,PT06M16.00S,2021-05-12T01:16:50.6Z,3,REGULAR,rebound,defensive,[],1629639,,,1610612748,67,72,2021-05-12T01:16:53Z,3640000,,,0,,T. Herro REBOUND (Off:0 Def:5),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,371.0,5.0,5.0,0.0,,,,,,,,,,,,,,,
373,PT06M04.00S,2021-05-12T01:17:05.3Z,3,REGULAR,turnover,traveling,[],1628389,,,1610612748,67,72,2021-05-12T01:17:11Z,3650000,,,0,,B. Adebayo traveling TURNOVER (4 TO),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,201245.0,4.0,,,,,,,
374,PT05M54.00S,2021-05-12T01:17:26.6Z,3,REGULAR,foul,personal,['2freethrow'],1628389,,,1610612738,67,72,2021-05-12T01:17:34Z,3660000,,,0,,B. Adebayo shooting personal FOUL (2 PF) (Walker 2 FT),"[1628389, 202689]",1610612748.0,MIA,shooting,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,201245.0,,2.0,0.0,Walker,202689.0,,,
376,PT05M54.00S,2021-05-12T01:17:54.6Z,3,REGULAR,freethrow,1 of 2,['fromturnover'],202689,,,1610612738,67,72,2021-05-12T01:17:54Z,3680000,,,0,,MISS K. Walker Free Throw 1 of 2,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,Missed,,,,,,,,,,,,,,,,,,,
377,PT05M54.00S,2021-05-12T01:17:54.6Z,3,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612738,67,72,2021-05-12T01:17:54Z,3690000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,376.0,,,,,,,,,,,,,,,,,,
378,PT05M54.00S,2021-05-12T01:18:09.8Z,3,REGULAR,freethrow,2 of 2,['fromturnover'],202689,,,1610612738,68,72,2021-05-12T01:18:09Z,3700000,,,0,,K. Walker Free Throw 2 of 2 (20 PTS),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,Made,,,,,20.0,,,,,,,,,,,,,,
379,PT05M46.00S,2021-05-12T01:18:23.9Z,3,REGULAR,foul,personal,"['inpenalty', '2freethrow']",202684,,,1610612748,68,72,2021-05-12T01:18:37Z,3710000,,,0,,T. Thompson personal FOUL (4 PF) (Robinson 2 FT),"[202684, 1629130]",1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,201245.0,,4.0,0.0,Robinson,1629130.0,,,
381,PT05M46.00S,2021-05-12T01:18:46.0Z,3,REGULAR,freethrow,1 of 2,[],1629130,,,1610612748,68,73,2021-05-12T01:18:46Z,3730000,,,0,,D. Robinson Free Throw 1 of 2 (13 PTS),[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,Made,,,,,13.0,,,,,,,,,,,,,,
382,PT05M46.00S,2021-05-12T01:18:46.7Z,3,REGULAR,substitution,out,[],203935,,,1610612748,68,73,2021-05-12T01:18:58Z,3740000,,,0,,SUB out: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
383,PT05M46.00S,2021-05-12T01:18:46.7Z,3,REGULAR,substitution,in,[],1630174,,,1610612748,68,73,2021-05-12T01:18:58Z,3750000,,,0,,SUB in: A. Nesmith,[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,,
384,PT05M46.00S,2021-05-12T01:19:08.9Z,3,REGULAR,freethrow,2 of 2,[],1629130,,,1610612748,68,74,2021-05-12T01:19:08Z,3760000,,,0,,D. Robinson Free Throw 2 of 2 (14 PTS),[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,Made,,,,,14.0,,,,,,,,,,,,,,
385,PT05M36.00S,2021-05-12T01:19:28.9Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],202689,7.5722733245729295,53.50030637254902,1610612738,68,74,2021-05-12T01:19:34Z,3770000,-18.0,19.0,1,left,MISS K. Walker driving Layup,[202689],1610612738.0,BOS,driving,,,Walker,K. Walker,,,,,2.56,Missed,,,,,,,,,,,,,,,,,,,
386,PT05M34.00S,2021-05-12T01:19:30.9Z,3,REGULAR,rebound,defensive,[],2772,,,1610612748,68,74,2021-05-12T01:19:34Z,3780000,,,0,,T. Ariza REBOUND (Off:1 Def:5),[2772],1610612748.0,MIA,,,,Ariza,T. Ariza,,,,,,,385.0,6.0,5.0,1.0,,,,,,,,,,,,,,,
387,PT05M29.00S,2021-05-12T01:19:35.7Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629639,90.09526938239159,59.62775735294118,1610612748,68,74,2021-05-12T01:19:45Z,3790000,48.0,41.0,1,right,MISS T. Herro 6' driving Layup - blocked,"[1629639, 203095]",1610612748.0,MIA,driving,,,Herro,T. Herro,,,,,6.29,Missed,,,,,,,,,Fournier,203095.0,,,,,,,,,
388,PT05M29.00S,2021-05-12T01:19:35.7Z,3,REGULAR,block,,[],203095,,,1610612748,68,74,2021-05-12T01:19:38Z,3800000,,,0,,E. Fournier BLOCK (1 BLK),[203095],1610612738.0,BOS,,,,Fournier,E. Fournier,,,,,,,,,,,,,,,,,,,,,,,,,
389,PT05M25.00S,2021-05-12T01:19:39.7Z,3,REGULAR,rebound,defensive,[],203095,,,1610612738,68,74,2021-05-12T01:21:26Z,3810000,,,0,,E. Fournier REBOUND (Off:0 Def:4),[203095],1610612738.0,BOS,,,,Fournier,E. Fournier,,,,,,,387.0,4.0,4.0,0.0,,,,,,,,,,,,,,,
390,PT05M13.00S,2021-05-12T01:19:53.8Z,3,REGULAR,2pt,Jump Shot,[],1628369,20.45006570302234,44.921875,1610612738,68,74,2021-05-12T01:20:08Z,3820000,25.0,140.0,1,left,MISS J. Tatum 14' floating Shot - blocked,"[1628369, 1628389]",1610612738.0,BOS,floating,,,Tatum,J. Tatum,,,,,14.2,Missed,,,,,,,,,Adebayo,1628389.0,,,,,,,,,
391,PT05M13.00S,2021-05-12T01:19:53.8Z,3,REGULAR,block,,[],1628389,,,1610612738,68,74,2021-05-12T01:19:57Z,3830000,,,0,,B. Adebayo BLOCK (1 BLK),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,,
392,PT05M11.00S,2021-05-12T01:19:55.8Z,3,REGULAR,rebound,offensive,['team'],0,,,1610612738,68,74,2021-05-12T01:20:08Z,3840000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,390.0,,,,,,,,,,,,,,,,,,
393,PT05M11.00S,2021-05-12T01:19:59.9Z,3,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,68,74,2021-05-12T01:19:59Z,3850000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,PT05M08.00S,2021-05-12T01:20:12.1Z,3,REGULAR,3pt,Jump Shot,['2ndchance'],202689,33.196452036793694,51.294424019607845,1610612738,68,74,2021-05-12T01:20:20Z,3860000,-6.0,260.0,1,left,MISS K. Walker 25' 3PT,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,25.96,Missed,,,,,,,,,,,,,,,,,,,
395,PT05M07.00S,2021-05-12T01:20:13.1Z,3,REGULAR,rebound,offensive,['team'],0,,,1610612738,68,74,2021-05-12T01:20:20Z,3870000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,394.0,,,,,,,,,,,,,,,,,,
396,PT05M07.00S,2021-05-12T01:20:18.0Z,3,REGULAR,foul,personal,[],1628389,,,1610612738,68,74,2021-05-12T01:22:53Z,3880000,,,0,,B. Adebayo loose ball personal FOUL (3 PF),"[1628389, 202684]",1610612748.0,MIA,loose ball,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,201245.0,,3.0,0.0,Thompson,202684.0,,,
398,PT05M02.00S,2021-05-12T01:20:42.8Z,3,REGULAR,3pt,Jump Shot,['2ndchance'],1628369,29.25427069645204,19.676776960784316,1610612738,68,74,2021-05-12T01:23:43Z,3900000,152.0,222.0,1,left,MISS J. Tatum 26' pullup 3PT,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,26.92,Missed,,,,,,,,,,,,,,,,,,,
399,PT04M57.00S,2021-05-12T01:20:47.8Z,3,REGULAR,rebound,defensive,[],1629639,,,1610612748,68,74,2021-05-12T01:20:49Z,3910000,,,0,,T. Herro REBOUND (Off:0 Def:6),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,398.0,6.0,6.0,0.0,,,,,,,,,,,,,,,
400,PT04M54.00S,2021-05-12T01:20:52.8Z,3,REGULAR,foul,offensive,[],1629130,,,1610612748,68,74,2021-05-12T01:21:01Z,3920000,,,0,,D. Robinson charge offensive FOUL (2 PF),"[1629130, 202689]",1610612748.0,MIA,charge,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,201245.0,,2.0,0.0,Walker,202689.0,,,
402,PT04M54.00S,2021-05-12T01:20:52.8Z,3,REGULAR,turnover,offensive foul,[],1629130,,,1610612748,68,74,2021-05-12T01:20:52Z,3940000,,,0,,D. Robinson offensive foul TURNOVER (1 TO),[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,201245.0,1.0,,,,,,,
403,PT04M42.00S,2021-05-12T01:21:24.6Z,3,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",202689,13.091327201051248,54.48069852941176,1610612738,70,74,2021-05-12T01:21:30Z,3950000,-22.0,71.0,1,left,K. Walker 7' driving floating Jump Shot (22 PTS) (J. Tatum 5 AST),"[202689, 1628369]",1610612738.0,BOS,driving floating,,,Walker,K. Walker,,,,,7.41,Made,,,,,22.0,J. Tatum,1628369.0,5.0,,,,,,,,,,,
405,PT04M22.00S,2021-05-12T01:21:44.1Z,3,REGULAR,2pt,Hook,['pointsinthepaint'],1628389,89.48751642575559,46.38863357843137,1610612748,70,76,2021-05-12T01:21:55Z,3970000,-18.0,46.0,1,right,B. Adebayo Hook (20 PTS) (D. Robinson 2 AST),"[1628389, 1629130]",1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,4.97,Made,,,,,20.0,D. Robinson,1629130.0,2.0,,,,,,,,,,,
407,PT04M08.00S,2021-05-12T01:21:58.0Z,3,REGULAR,3pt,Jump Shot,[],202689,32.276609724047304,54.970894607843135,1610612738,73,76,2021-05-12T01:22:02Z,3990000,-25.0,251.0,1,left,K. Walker 25' 3PT  (25 PTS) (E. Fournier 8 AST),"[202689, 203095]",1610612738.0,BOS,,,,Walker,K. Walker,,,,,25.21,Made,,,,,25.0,E. Fournier,203095.0,8.0,,,,,,,,,,,
409,PT04M07.00S,2021-05-12T01:22:04.1Z,3,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612748,73,76,2021-05-12T01:22:04Z,4010000,,,0,,MIA Timeout,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,PT04M07.00S,2021-05-12T01:23:25.6Z,3,REGULAR,substitution,out,[],1629134,,,1610612748,73,76,2021-05-12T01:25:10Z,4020000,,,0,,SUB out: K. Nunn,[1629134],1610612748.0,MIA,,,,Nunn,K. Nunn,,,,,,,,,,,,,,,,,,,,,,,,,
411,PT04M07.00S,2021-05-12T01:23:25.6Z,3,REGULAR,substitution,in,[],201609,,,1610612748,73,76,2021-05-12T01:25:10Z,4030000,,,0,,SUB in: G. Dragic,[201609],1610612748.0,MIA,,,,Dragic,G. Dragic,,,,,,,,,,,,,,,,,,,,,,,,,
412,PT03M56.00S,2021-05-12T01:25:36.9Z,3,REGULAR,3pt,Jump Shot,[],1629130,68.9388961892247,20.902267156862745,1610612748,73,79,2021-05-12T01:26:14Z,4040000,-145.0,239.0,1,right,D. Robinson 28' 3PT  (17 PTS) (B. Adebayo 2 AST),"[1629130, 1628389]",1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,28.02,Made,,,,,17.0,B. Adebayo,1628389.0,2.0,,,,,,,,,,,
414,PT03M31.00S,2021-05-12T01:26:01.4Z,3,REGULAR,3pt,Jump Shot,[],1628369,18.084756898817346,92.9610906862745,1610612738,73,79,2021-05-12T01:26:07Z,4060000,-215.0,117.0,1,left,MISS J. Tatum 24' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,24.48,Missed,,,,,,,,,,,,,,,,,,,
415,PT03M28.00S,2021-05-12T01:26:04.4Z,3,REGULAR,rebound,defensive,[],1629639,,,1610612748,73,79,2021-05-12T01:26:07Z,4070000,,,0,,T. Herro REBOUND (Off:0 Def:7),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,414.0,7.0,7.0,0.0,,,,,,,,,,,,,,,
416,PT03M21.00S,2021-05-12T01:26:11.7Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],2772,90.48948751642575,47.86305147058824,1610612748,73,81,2021-05-12T01:26:22Z,4080000,-11.0,37.0,1,right,T. Ariza cutting Layup (2 PTS) (T. Herro 2 AST),"[2772, 1629639]",1610612748.0,MIA,cutting,,,Ariza,T. Ariza,,,,,3.84,Made,,,,,2.0,T. Herro,1629639.0,2.0,,,,,,,,,,,
418,PT03M08.00S,2021-05-12T01:26:24.5Z,3,REGULAR,3pt,Jump Shot,[],202689,26.49474375821288,18.206188725490197,1610612738,73,81,2021-05-12T01:26:30Z,4100000,159.0,197.0,1,left,MISS K. Walker 25' 3PT,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,25.28,Missed,,,,,,,,,,,,,,,,,,,
419,PT03M05.00S,2021-05-12T01:26:27.5Z,3,REGULAR,rebound,defensive,[],1629639,,,1610612748,73,81,2021-05-12T01:26:30Z,4110000,,,0,,T. Herro REBOUND (Off:0 Def:8),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,418.0,8.0,8.0,0.0,,,,,,,,,,,,,,,
420,PT02M53.00S,2021-05-12T01:26:40.5Z,3,REGULAR,2pt,Jump Shot,[],1629130,91.27792378449409,27.76501225490196,1610612748,73,83,2021-05-12T01:26:47Z,4120000,-111.0,29.0,1,right,D. Robinson 11' fadeaway Jump Shot (19 PTS) (T. Herro 3 AST),"[1629130, 1629639]",1610612748.0,MIA,fadeaway,,,Robinson,D. Robinson,,,,,11.5,Made,,,,,19.0,T. Herro,1629639.0,3.0,,,,,,,,,,,
422,PT02M30.00S,2021-05-12T01:27:02.8Z,3,REGULAR,2pt,Jump Shot,[],203095,12.483574244415244,78.03308823529412,1610612738,73,83,2021-05-12T01:27:11Z,4140000,-140.0,65.0,1,left,MISS E. Fournier 15' pullup Shot,[203095],1610612738.0,BOS,pullup,,,Fournier,E. Fournier,,,,,15.45,Missed,,,,,,,,,,,,,,,,,,,
423,PT02M26.00S,2021-05-12T01:27:06.8Z,3,REGULAR,rebound,defensive,[],1628389,,,1610612748,73,83,2021-05-12T01:27:11Z,4150000,,,0,,B. Adebayo REBOUND (Off:2 Def:5),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,422.0,7.0,5.0,2.0,,,,,,,,,,,,,,,
424,PT02M15.00S,2021-05-12T01:27:17.9Z,3,REGULAR,2pt,Jump Shot,[],1629639,77.87450722733246,41.490502450980394,1610612748,73,83,2021-05-12T01:27:33Z,4160000,-43.0,155.0,1,right,MISS T. Herro 16' pullup Shot,[1629639],1610612748.0,MIA,pullup,,,Herro,T. Herro,,,,,16.12,Missed,,,,,,,,,,,,,,,,,,,
425,PT02M12.00S,2021-05-12T01:27:20.9Z,3,REGULAR,rebound,defensive,[],1630174,,,1610612738,73,83,2021-05-12T01:27:33Z,4170000,,,0,,A. Nesmith REBOUND (Off:0 Def:2),[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,424.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
426,PT02M02.00S,2021-05-12T01:27:30.7Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],202684,8.09789750328515,50.55912990196079,1610612738,75,83,2021-05-12T01:27:42Z,4180000,-3.0,24.0,1,left,T. Thompson Layup (2 PTS) (K. Walker 2 AST),"[202684, 202689]",1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,2.38,Made,,,,,2.0,K. Walker,202689.0,2.0,,,,,,,,,,,
428,PT01M46.00S,2021-05-12T01:27:46.8Z,3,REGULAR,3pt,Jump Shot,[],1629130,91.67214191852825,94.921875,1610612748,75,86,2021-05-12T01:29:00Z,4200000,225.0,26.0,1,right,D. Robinson 3PT  (22 PTS) (B. Adebayo 3 AST),"[1629130, 1628389]",1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,22.61,Made,,,,,22.0,B. Adebayo,1628389.0,3.0,,,,,,,,,,,
430,PT01M29.00S,2021-05-12T01:28:03.2Z,3,REGULAR,2pt,Jump Shot,[],202689,21.76412614980289,30.46109068627451,1610612738,77,86,2021-05-12T01:28:08Z,4220000,98.0,152.0,1,left,K. Walker 18' pullup Jump Shot (27 PTS),[202689],1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,18.08,Made,,,,,27.0,,,,,,,,,,,,,,
431,PT01M11.00S,2021-05-12T01:28:22.0Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1628389,91.80354796320631,43.20618872549019,1610612748,77,88,2021-05-12T01:28:31Z,4230000,-34.0,25.0,1,right,B. Adebayo driving reverse Layup (22 PTS),[1628389],1610612748.0,MIA,driving reverse,,,Adebayo,B. Adebayo,,,,,4.19,Made,,,,,22.0,,,,,,,,,,,,,,
432,PT00M59.20S,2021-05-12T01:28:33.9Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,7.30946123521682,53.74540441176471,1610612738,77,88,2021-05-12T01:28:44Z,4240000,-19.0,16.0,1,left,MISS J. Tatum driving reverse Layup,[1628369],1610612738.0,BOS,driving reverse,,,Tatum,J. Tatum,,,,,2.47,Missed,,,,,,,,,,,,,,,,,,,
433,PT00M57.90S,2021-05-12T01:28:35.2Z,3,REGULAR,rebound,defensive,[],1629130,,,1610612748,77,88,2021-05-12T01:28:44Z,4250000,,,0,,D. Robinson REBOUND (Off:0 Def:2),[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,432.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
434,PT00M41.40S,2021-05-12T01:28:52.7Z,3,REGULAR,3pt,Jump Shot,[],201609,76.95466491458606,7.176776960784313,1610612748,77,91,2021-05-12T01:30:49Z,4260000,-214.0,164.0,1,right,G. Dragic 26' 3PT  (3 PTS) (B. Adebayo 4 AST),"[201609, 1628389]",1610612748.0,MIA,,,,Dragic,G. Dragic,,,,,26.98,Made,,,,,3.0,B. Adebayo,1628389.0,4.0,,,,,,,,,,,
436,PT00M39.60S,2021-05-12T01:28:59.8Z,3,REGULAR,timeout,full,['team'],0,,,1610612738,77,91,2021-05-12T01:28:59Z,4280000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437,PT00M39.60S,2021-05-12T01:30:10.5Z,3,REGULAR,substitution,out,[],202684,,,1610612738,77,91,2021-05-12T01:30:36Z,4290000,,,0,,SUB out: T. Thompson,[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,
438,PT00M39.60S,2021-05-12T01:30:10.5Z,3,REGULAR,substitution,out,[],1630174,,,1610612738,77,91,2021-05-12T01:30:36Z,4300000,,,0,,SUB out: A. Nesmith,[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,,
439,PT00M39.60S,2021-05-12T01:30:10.5Z,3,REGULAR,substitution,out,[],203095,,,1610612738,77,91,2021-05-12T01:30:36Z,4310000,,,0,,SUB out: E. Fournier,[203095],1610612738.0,BOS,,,,Fournier,E. Fournier,,,,,,,,,,,,,,,,,,,,,,,,,
440,PT00M39.60S,2021-05-12T01:30:10.5Z,3,REGULAR,substitution,out,[],2772,,,1610612738,77,91,2021-05-12T01:30:36Z,4320000,,,0,,SUB out: T. Ariza,[2772],1610612748.0,MIA,,,,Ariza,T. Ariza,,,,,,,,,,,,,,,,,,,,,,,,,
441,PT00M39.60S,2021-05-12T01:30:10.5Z,3,REGULAR,substitution,out,[],1628389,,,1610612738,77,91,2021-05-12T01:30:36Z,4330000,,,0,,SUB out: B. Adebayo,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,,
442,PT00M39.60S,2021-05-12T01:30:10.5Z,3,REGULAR,substitution,out,[],1629639,,,1610612738,77,91,2021-05-12T01:30:36Z,4340000,,,0,,SUB out: T. Herro,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,,,,,,,,,,,,,,,,,
443,PT00M39.60S,2021-05-12T01:30:10.5Z,3,REGULAR,substitution,in,[],1629684,,,1610612738,77,91,2021-05-12T01:30:36Z,4350000,,,0,,SUB in: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
444,PT00M39.60S,2021-05-12T01:30:10.5Z,3,REGULAR,substitution,in,[],203935,,,1610612738,77,91,2021-05-12T01:30:36Z,4360000,,,0,,SUB in: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
445,PT00M39.60S,2021-05-12T01:30:10.5Z,3,REGULAR,substitution,in,[],1629035,,,1610612738,77,91,2021-05-12T01:30:36Z,4370000,,,0,,SUB in: C. Edwards,[1629035],1610612738.0,BOS,,,,Edwards,C. Edwards,,,,,,,,,,,,,,,,,,,,,,,,,
446,PT00M39.60S,2021-05-12T01:30:10.5Z,3,REGULAR,substitution,in,[],203473,,,1610612738,77,91,2021-05-12T01:30:36Z,4380000,,,0,,SUB in: D. Dedmon,[203473],1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,,,,,,,,,,,,,,,,,,,,,
447,PT00M39.60S,2021-05-12T01:30:10.5Z,3,REGULAR,substitution,in,[],1629134,,,1610612738,77,91,2021-05-12T01:30:36Z,4390000,,,0,,SUB in: K. Nunn,[1629134],1610612748.0,MIA,,,,Nunn,K. Nunn,,,,,,,,,,,,,,,,,,,,,,,,,
448,PT00M39.60S,2021-05-12T01:30:10.5Z,3,REGULAR,substitution,in,[],2738,,,1610612738,77,91,2021-05-12T01:30:36Z,4400000,,,0,,SUB in: A. Iguodala,[2738],1610612748.0,MIA,,,,Iguodala,A. Iguodala,,,,,,,,,,,,,,,,,,,,,,,,,
449,PT00M32.80S,2021-05-12T01:30:48.4Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202689,13.222733245729303,47.372855392156865,1610612738,77,91,2021-05-12T01:30:54Z,4410000,13.0,72.0,1,left,MISS K. Walker 7' driving floating Shot,[202689],1610612738.0,BOS,driving floating,,,Walker,K. Walker,,,,,7.3,Missed,,,,,,,,,,,,,,,,,,,
450,PT00M30.00S,2021-05-12T01:30:51.2Z,3,REGULAR,rebound,defensive,[],1629134,,,1610612748,77,91,2021-05-12T01:30:54Z,4420000,,,0,,K. Nunn REBOUND (Off:0 Def:6),[1629134],1610612748.0,MIA,,,,Nunn,K. Nunn,,,,,,,449.0,6.0,6.0,0.0,,,,,,,,,,,,,,,
