actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
67,PT06M01.00S,2021-05-09T17:27:48.4Z,1,REGULAR,substitution,out,[],1628369,,,1610612748,8,18,2021-05-09T17:27:57Z,670000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M01.00S,2021-05-09T17:27:48.4Z,1,REGULAR,substitution,out,[],1629057,,,1610612748,8,18,2021-05-09T17:27:57Z,680000,,,0,,SUB out: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M01.00S,2021-05-09T17:27:48.4Z,1,REGULAR,substitution,out,[],1629134,,,1610612748,8,18,2021-05-09T17:27:57Z,690000,,,0,,SUB out: K. Nunn,[1629134],1610612748.0,MIA,,,,Nunn,K. Nunn,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M01.00S,2021-05-09T17:27:48.4Z,1,REGULAR,substitution,in,[],1630174,,,1610612748,8,18,2021-05-09T17:27:57Z,700000,,,0,,SUB in: A. Nesmith,[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M01.00S,2021-05-09T17:27:48.4Z,1,REGULAR,substitution,in,[],202684,,,1610612748,8,18,2021-05-09T17:27:57Z,710000,,,0,,SUB in: T. Thompson,[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M01.00S,2021-05-09T17:27:48.4Z,1,REGULAR,substitution,in,[],201609,,,1610612748,8,18,2021-05-09T17:27:57Z,720000,,,0,,SUB in: G. Dragic,[201609],1610612748.0,MIA,,,,Dragic,G. Dragic,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M01.00S,2021-05-09T17:28:13.5Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1628389,,,1610612748,8,19,2021-05-09T17:28:13Z,730000,,,0,,B. Adebayo Free Throw 2 of 2 (4 PTS),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,Made,,,,,,,,,,,,,4.0,,,,,,
74,PT05M42.00S,2021-05-09T17:28:35.3Z,1,REGULAR,2pt,Jump Shot,[],203935,74.72076215505913,21.88265931372549,1610612738,10,19,2021-05-09T17:28:47Z,740000,-141.0,185.0,1,right,M. Smart 23' Jump Shot (4 PTS),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,23.24,Made,,,,,,,,,,,,,4.0,,,,,,
76,PT05M19.00S,2021-05-09T17:28:57.0Z,1,REGULAR,3pt,Jump Shot,[],1629130,23.078186596583443,86.09834558823529,1610612748,10,19,2021-05-09T17:29:01Z,760000,-180.0,164.0,1,left,MISS D. Robinson 24' 3PT,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,24.41,Missed,,,,,,,,,,,,,,,,,,,
77,PT05M17.00S,2021-05-09T17:28:59.2Z,1,REGULAR,rebound,defensive,[],202684,,,1610612738,10,19,2021-05-09T17:28:59Z,770000,,,0,,T. Thompson REBOUND (Off:0 Def:1),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,76.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
78,PT05M13.00S,2021-05-09T17:29:04.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202689,91.01511169513797,46.392463235294116,1610612738,10,19,2021-05-09T17:29:10Z,780000,-18.0,32.0,1,right,MISS K. Walker cutting finger roll Layup,[202689],1610612738.0,BOS,cutting finger roll,,,Walker,K. Walker,,,,,3.67,Missed,,,,,,,,,,,,,,,,,,,
79,PT05M11.00S,2021-05-09T17:29:06.3Z,1,REGULAR,rebound,defensive,[],201609,,,1610612748,10,19,2021-05-09T17:29:10Z,790000,,,0,,G. Dragic REBOUND (Off:0 Def:1),[201609],1610612748.0,MIA,,,,Dragic,G. Dragic,,,,,,,78.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
