actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,value
70,PT04M39.00S,2021-03-03T01:04:29.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",202704,6.915243101182654,45.41207107843137,1610612746,23,23,2021-03-03T01:04:37Z,690000,23.0,13.0,1,left,R. Jackson running Layup (4 PTS) (N. Batum 1 AST),"[202704, 201587]",1610612746.0,LAC,running,,,Jackson,R. Jackson,,,,,,,,,,2.61,Made,4.0,N. Batum,201587.0,1.0,,,,,,,,,,
72,PT04M29.00S,2021-03-03T01:04:43.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,23,23,2021-03-03T01:04:43Z,710000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT04M29.00S,2021-03-03T01:06:07.6Z,1,REGULAR,substitution,out,[],1628369,,,1610612738,23,23,2021-03-03T01:07:50Z,720000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT04M29.00S,2021-03-03T01:06:07.6Z,1,REGULAR,substitution,out,[],202684,,,1610612738,23,23,2021-03-03T01:07:50Z,730000,,,0,,SUB out: T. Thompson,[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT04M29.00S,2021-03-03T01:06:07.6Z,1,REGULAR,substitution,out,[],202704,,,1610612738,23,23,2021-03-03T01:07:50Z,740000,,,0,,SUB out: R. Jackson,[202704],1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT04M29.00S,2021-03-03T01:06:07.6Z,1,REGULAR,substitution,out,[],201976,,,1610612738,23,23,2021-03-03T01:07:50Z,750000,,,0,,SUB out: P. Beverley,[201976],1610612746.0,LAC,,,,Beverley,P. Beverley,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT04M29.00S,2021-03-03T01:06:07.6Z,1,REGULAR,substitution,out,[],201586,,,1610612738,23,23,2021-03-03T01:07:50Z,760000,,,0,,SUB out: S. Ibaka,[201586],1610612746.0,LAC,,,,Ibaka,S. Ibaka,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT04M29.00S,2021-03-03T01:06:07.6Z,1,REGULAR,substitution,in,[],1630202,,,1610612738,23,23,2021-03-03T01:07:50Z,770000,,,0,,SUB in: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT04M29.00S,2021-03-03T01:06:07.6Z,1,REGULAR,substitution,in,[],1628400,,,1610612738,23,23,2021-03-03T01:07:50Z,780000,,,0,,SUB in: S. Ojeleye,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT04M29.00S,2021-03-03T01:06:07.6Z,1,REGULAR,substitution,in,[],1627826,,,1610612738,23,23,2021-03-03T01:07:50Z,790000,,,0,,SUB in: I. Zubac,[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,,,,,,,,,,,,,,,
