actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
69,PT06M24.00S,2021-05-02T23:47:42.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,9,16,2021-05-02T23:47:42Z,690000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M24.00S,2021-05-02T23:49:44.1Z,1,REGULAR,substitution,out,[],203994,,,1610612738,9,16,2021-05-02T23:50:14Z,700000,,,0,,SUB out: J. Nurkic,[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M24.00S,2021-05-02T23:49:44.1Z,1,REGULAR,substitution,in,[],202683,,,1610612738,9,16,2021-05-02T23:50:14Z,710000,,,0,,SUB in: E. Kanter,[202683],1610612757.0,POR,,,,Kanter,E. Kanter,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M08.00S,2021-05-02T23:50:42.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203935,72.22404730617609,20.902267156862745,1610612738,9,16,2021-05-02T23:50:49Z,720000,-145.0,209.0,1,right,MISS M. Smart 25' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,25.43,Missed,,,,,,,,,,,,,,,,,,,
74,PT06M05.00S,2021-05-02T23:50:45.7Z,1,REGULAR,rebound,offensive,[],1627759,,,1610612738,9,16,2021-05-02T23:50:49Z,730000,,,0,,J. Brown REBOUND (Off:1 Def:2),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,73.0,3.0,2.0,1.0,,,,,,,,
75,PT06M05.00S,2021-05-02T23:50:46.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627759,94.40999984741211,50.0,1610612738,9,16,2021-05-02T23:50:46Z,740000,0.0,0.0,1,right,MISS J. Brown tip Layup,[1627759],1610612738.0,BOS,tip,,,Brown,J. Brown,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,,
76,PT06M05.00S,2021-05-02T23:50:47.0Z,1,REGULAR,rebound,offensive,[],1627759,,,1610612738,9,16,2021-05-02T23:50:47Z,750000,,,0,,J. Brown REBOUND (Off:2 Def:2),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,75.0,4.0,2.0,2.0,,,,,,,,
77,PT06M05.00S,2021-05-02T23:50:48.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627759,92.46057818659659,50.55912990196079,1610612738,11,16,2021-05-02T23:50:55Z,760000,3.0,18.0,1,right,J. Brown putback Layup (2 PTS),[1627759],1610612738.0,BOS,putback,,,Brown,J. Brown,,,,,1.86,Made,2.0,,,,,,,,,,,,,,,,,,
78,PT06M05.00S,2021-05-02T23:50:50.6Z,1,REGULAR,foul,personal,['1freethrow'],1626181,,,1610612738,11,16,2021-05-02T23:53:17Z,770000,,,0,,N. Powell shooting personal FOUL (1 PF) (Brown 1 FT),"[1626181, 1627759]",1610612757.0,POR,shooting,,,Powell,N. Powell,,,,,,,,,,,,,,,,,,,,1627534.0,1.0,0.0,Brown,1627759.0,
80,PT06M05.00S,2021-05-02T23:51:07.6Z,1,REGULAR,substitution,out,[],1628369,,,1610612738,11,16,2021-05-02T23:51:43Z,790000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
